상품명,옵션내용,현재고,미발송수,주문수,주문금액,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
듀펜 매트리스 ES(90*200),14cm (최신),91,14,,,110,1607,2459,2815,2970,4963,3836,2046,1367,1095,413,162
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&오크 (드랍사이드 ver) - 기존 제품 변형,12,5,,,0,0,0,0,0,0,0,0,0,0,0,43
네티 플러스 (니스툴그로우 2in1 아기침대),소프트화이트&오크 드랍사이드 변형키트,8,5,,,0,0,0,0,0,0,0,0,0,0,0,47
자체 헤이(HEJ) 단층침대 SS,소프트화이트 2번 (통판/트레이가드 버전),0,0,,,0,0,0,0,0,0,0,0,0,0,1,78
자체 캠퍼(Camper) 미드,캠퍼SS 미드확장키트 소프트화이트 (통판버전),48,10,,,0,0,0,0,0,0,0,0,0,0,40,41
실리콘 손잡이,손잡이,1537,198,,,0,0,0,0,0,1965,5227,3339,5797,3655,4096,2046
뉴트럴 플라이우드 데스크,상판-유로화이트,21,2,,,0,0,0,0,0,0,286,1442,1098,893,416,98
톤온톤 책장 공용,"측판(1200,800,600)-화이트(S8W)",39,10,,,0,0,219,491,481,650,481,192,128,118,304,191
에바다용 캠퍼(Camper) 미드,캠퍼단층SS(통판버전) 라떼베이지 1번,3,15,,,0,0,0,0,0,0,0,0,0,0,9,33
에바다용 듀펜 매트리스 SS(110*200),14cm,41,34,,,0,0,0,0,0,0,88,76,78,174,406,136
"자체 헤이(HEJ), 캠퍼(Camper) 공용 2층확장키트 SS",헤이용 짧은키트 (1개매칭),359,3,,,0,0,0,0,0,0,0,0,0,0,19,41
에바다용 헤이(HEJ) 하이확장키트 SS,소프트화이트 1번,5,4,,,0,0,0,0,0,0,0,0,0,0,16,15
에바다용 헤이(HEJ) 하이확장키트 SS,소프트화이트 2번,4,4,,,0,0,0,0,0,0,0,0,0,0,15,17
에바다용 보리침대용 안전가드,헤이하이침대용 하이간살가드,4,5,,,0,0,0,0,0,0,0,0,0,0,0,24
자체 캠퍼(Camper) 미드,캠퍼SS 미드 수납형 사다리 화이트,53,7,,,0,0,0,0,0,0,0,0,0,0,60,37
에바다용 캠퍼(Camper) 하이확장키트,라떼베이지 1번,0,15,,,0,0,0,0,0,0,0,0,0,0,3,30
에바다용 캠퍼(Camper) 하이확장키트,캠퍼SS 하이 수납형 사다리 라떼베이지,4,15,,,0,0,0,0,0,0,0,0,0,0,3,29
에바다용 캠퍼(Camper) 하이확장키트,라떼베이지 2번,0,15,,,0,0,0,0,0,0,0,0,0,0,3,31
뉴 독서클립,그린,8768,64,,,0,0,0,0,0,0,0,95,945,3462,5242,1782
뉴트럴 플라이우드 데스크,리어탑-오트밀,185,9,,,0,0,0,0,0,0,117,798,743,391,183,180
뉴트럴 플라이우드 데스크,상판-오트밀,161,33,,,0,0,0,0,0,0,113,762,719,676,695,375
노트북거치대 익스텐드(NLS07),실버,544,1,,,0,0,0,0,0,0,0,268,2328,1912,1376,822
자체 보리침대용 안전가드,트레이가드L - 소프트화이트,9,7,,,0,0,0,0,0,0,0,0,0,0,8,33
뉴트럴 플라이우드 데스크,리어탑-유로화이트,155,3,,,0,0,0,0,0,0,215,1044,792,350,164,78
톤온톤 책장 공용,"측판(1200,800,600)-그레이(S8G)",144,8,,,0,0,513,1145,1028,1411,1228,2003,1434,1186,683,162
에바다용 헤이(HEJ) 단층침대 SS,소프트화이트 1번(통판/하이용 간살가드버전),1,0,,,0,0,0,0,0,0,0,0,0,0,15,10
에바다용 헤이(HEJ) 단층침대 SS,소프트화이트 2번(통판/하이용 간살가드버전),1,0,,,0,0,0,0,0,0,0,0,0,0,16,10
톤온톤 책상장  1200,뒷판-화이트(B2W),154,5,,,0,0,0,0,0,0,0,0,0,0,119,108
톤온톤 책상장  1200,천지선반-화이트(H2W),15,5,,,0,0,0,0,0,0,0,0,0,0,119,108
자체 헤이(HEJ) 하이확장키트 SS,베이지 1번,54,1,,,0,0,0,0,0,0,0,0,0,0,11,48
자체 헤이(HEJ) 하이확장키트 SS,베이지 2번,51,1,,,0,0,0,0,0,0,0,0,0,0,11,49
자체 헤이(HEJ) 단층침대 ES,소프트화이트 1번(통판/하이용 간살가드버전),14,4,,,0,0,0,0,0,0,0,0,0,0,11,25
자체 헤이(HEJ) 단층침대 ES,소프트화이트 2번(통판/하이용 간살가드버전),15,4,,,0,0,0,0,0,0,0,0,0,0,10,25
자체 헤이(HEJ) 하이확장키트 ES,소프트화이트 1번,13,4,,,0,0,0,0,0,0,0,0,0,0,10,27
자체 헤이(HEJ) 하이확장키트 ES,소프트화이트 2번,13,4,,,0,0,0,0,0,0,0,0,0,0,10,27
"자체 통판 1세트(3ea) - 아이비,캠퍼시리즈,헤이하이용",ES - 헤이하이침대만 해당,8,4,,,0,0,0,0,0,0,0,0,0,0,5,27
아기공룡욕조,폴딩욕조,400,4,,,0,0,0,0,0,0,0,0,0,2269,2204,1160
