상품명,옵션내용,현재고,미발송수,주문수,주문금액,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2,2026Q3
AS용 스페어 (밤부체어),이동바퀴,590,0,,,0,0,0,0,0,0,10,14,16,18,30,12,38,28,109,63,42,60,138,88,158,58,111,17,14,32,63,20,25,6,22,23,12,12,50,35,26,15,37,30,28,28,21,37,16,4,2,12,0
AS용 스페어 (밤부체어),구형-스크류,757,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,86,84,68,105,117,103,100,115,194,272,280,236,295,203,252,213,231,171,146,105,133,70,53,62,83,62,42,38,57,27,18,28,57,29,0
AS용 스페어 (밤부체어),신형-스크류,477,8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,5,8,14,14,13,19,35,51,53,48,67,43,60,52,62,55,78,47,91,52,45,64,91,45,40,44,60,25,33,25,43,30,0
AS용 스페어 (밤부체어),맨뒤바퀴 (보조바퀴),20,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,6,5,0,22,13,8,8,35,24,10,19,28,11,11,9,20,5,6,7,14,9,2,11,20,6,9,5,4,9,1,12,12,8,0
AS용 스페어 (NS630),이동바퀴,12,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,8,18,9,29,24,9,16,29,21,41,31,22,4,20,27,16,22,2,0,10,9,23,4,2,14,2,13,28,14,13,6,21,4,0
AS용 스페어 (NS750AR),중심봉,18,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,1,2,2,1,4,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
AS용 스페어 (NS750AR),중심봉 커버,32,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AS용 스페어 (NS750AR),고정 디스크,12,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,4,3,4,3,6,2,6,2,3,2,3,2,5,2,4,6,6,3,2,3,2,4,4,1,1,1,2,0,1,0
AS용 스페어 (밤부체어),스패너 12mm/13mm,43,2,,,0,0,0,0,0,0,0,0,0,0,69,82,0,0,9,138,74,92,288,136,107,109,310,260,156,176,336,139,129,102,201,73,79,83,217,107,96,91,109,49,47,38,39,27,24,27,30,10,0
현대물류용 벙커확장키트,투톤(스톤) 이층,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,24,7,15,14,13,8,11,5,8,7,5,3,2,1,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0
